Asset,TotalDebt,Equity,PaidUpCapital,Revenue,NetProfit,EarningPerShare,ROA,ROE,Period,Symbol
"1,169.46",508.33,661.13,250.00,"1,083.73",32.00,0.13,2.64,4.97,1Q2556,2S
982.97,319.63,663.34,300.00,940.55,7.77,0.00,0.72,1.17,2Q2556,2S
"1,338.60",654.82,683.78,300.00,"1,092.56",20.44,0.07,1.76,3.03,3Q2556,2S
"1,222.08",531.40,690.69,300.00,983.91,7.83,0.03,0.61,1.14,4Q2556,2S
"1,355.38",629.06,726.32,300.00,"1,086.03",32.09,0.11,2.49,4.53,1Q2557,2S
"1,345.54",636.41,709.13,300.00,"1,101.62",18.81,0.06,1.39,2.62,2Q2557,2S
"1,391.75",680.79,710.95,300.00,"1,063.94",1.82,0.01,0.13,0.26,3Q2557,2S
"1,207.02",506.88,700.13,300.00,995.07,-10.82,-0.02,-0.83,-1.53,4Q2557,2S
"1,217.56",456.53,761.03,300.00,"1,035.84",1.57,0.01,0.13,0.22,1Q2558,2S
"1,375.11",617.59,757.52,300.00,925.63,26.49,0.09,2.04,3.49,2Q2558,2S
"1,292.75",536.53,756.22,300.00,899.90,-1.30,-0.00,-0.10,-0.17,3Q2558,2S
"1,210.54",449.45,761.09,300.00,846.27,6.44,0.02,0.51,0.85,4Q2558,2S
"1,211.19",348.07,863.12,300.00,"1,034.66",102.03,0.34,8.43,12.56,1Q2559,2S
"1,364.41",427.83,936.58,300.00,930.24,103.45,0.34,8.03,11.50,2Q2559,2S
"1,400.00",427.95,972.05,300.00,932.19,59.47,0.20,4.30,6.23,3Q2559,2S
"1,753.84",704.23,"1,049.61",300.00,"1,046.88",76.88,0.26,4.88,7.61,4Q2559,2S
"1,768.61",618.06,"1,150.54",300.00,"1,119.19",100.93,0.34,5.73,9.17,1Q2560,2S
"1,562.65",429.87,"1,132.79",400.00,"1,047.38",12.24,-0.06,0.73,1.07,2Q2560,2S
"2,001.03",789.87,"1,211.16",400.00,"1,204.70",102.37,0.26,5.75,8.73,3Q2560,2S
"1,929.31",649.00,"1,280.31",400.00,"1,163.93",69.15,0.17,3.52,5.55,4Q2560,2S
"1,922.94",573.75,"1,349.19",400.00,"1,421.09",68.89,0.17,3.58,5.24,1Q2561,2S
"1,822.25",481.46,"1,340.79",450.00,"1,351.55",31.59,0.05,1.69,2.35,2Q2561,2S
"1,932.06",608.06,"1,323.99",450.00,"1,359.30",14.71,0.04,0.78,1.10,3Q2561,2S
"1,857.46",543.27,"1,314.19",450.00,"1,331.05",-9.81,-0.03,-0.52,-0.74,4Q2561,2S
"1,710.92",350.21,"1,360.70",450.00,"1,468.18",49.68,0.11,2.78,3.71,1Q2562,2S
"1,742.10",341.64,"1,400.46",450.00,"1,376.37",74.53,0.17,4.32,5.40,2Q2562,2S
"2,029.36",662.06,"1,367.29",450.00,"1,201.71",-1.11,-0.01,-0.06,-0.08,3Q2562,2S
"1,766.51",388.84,"1,377.66",450.00,"1,367.68",10.18,0.03,0.54,0.74,4Q2562,2S
"1,917.04",443.64,"1,473.40",450.00,"1,488.86",129.64,0.29,7.04,9.09,1Q2563,2S
"1,895.58",340.34,"1,555.24",450.00,"1,514.70",78.06,0.17,4.09,5.15,2Q2563,2S
"2,039.26",384.43,"1,654.83",450.00,"1,300.53",101.43,0.23,5.16,6.32,3Q2563,2S
"2,204.94",449.33,"1,755.61",450.00,,101.07,0.22,4.76,5.93,4Q2563,2S
"2,254.25",252.57,"2,001.68",450.00,"1,688.28",247.56,0.55,11.10,13.18,1Q2564,2S
"2,550.29",386.21,"2,164.08",500.00,"1,655.38",275.84,0.50,11.48,13.24,2Q2564,2S
"2,406.60",173.65,"2,232.95",500.00,"1,552.90",164.80,0.33,6.65,7.50,3Q2564,2S
"2,457.50",179.68,"2,277.82",500.00,"1,658.57",49.85,0.09,2.05,2.21,4Q2564,2S
"2,613.26",279.74,"2,333.52",500.00,"1,872.20",49.13,0.10,1.94,2.13,1Q2565,2S
"2,346.85",212.91,"2,133.94",550.00,"1,650.68",-53.61,-0.11,-2.16,-2.40,2Q2565,2S
"2,510.09",511.95,"1,998.14",550.00,"1,655.48",-135.02,-0.25,-5.56,-6.54,3Q2565,2S
