Period as of,Assets,Liabilities,Equity,Paid-up Capital,Revenue,Profit (Loss) from Other Activities,Net Profit,EPS (Baht),ROA (%),ROE (%),Net Profit Margin (%),Symbol
Y/E 2018 31 Dec 2018,1525.75,110.46,1415.28,2780.0,16.0,95.88,56.35,0.02,4.02,4.06,352.23,EE
Y/E 2019 31 Dec 2019,1646.15,136.61,1509.54,2780.0,5.7,143.26,93.96,0.03,5.94,6.42,1649.58,EE
Y/E 2020 31 Dec 2020,1614.46,164.09,1450.36,2780.0,5.44,50.47,4.99,0.0,0.34,0.34,91.62,EE
Y/E 2021 31 Dec 2021,1770.59,49.73,1711.02,2780.0,113.91,154.57,195.41,0.07,14.07,12.36,171.09,EE
9M/2022 30 Sep 2022,1686.38,7.41,1663.37,2780.0,8.25,-11.55,-47.65,-0.02,-3.39,-2.16,-611.05,EE
Y/E 2018 31 Dec 2018,18129.66,5403.47,12602.56,1253.82,16943.87,71.13,1037.97,0.83,7.77,8.43,6.19,GFPT
Y/E 2019 31 Dec 2019,18820.1,5205.05,13484.92,1253.82,17139.72,250.57,1195.45,0.95,8.34,9.16,7.02,GFPT
Y/E 2020 31 Dec 2020,20409.77,5700.34,14583.43,1253.82,14982.08,354.92,1351.73,1.08,8.42,9.63,9.06,GFPT
Y/E 2021 31 Dec 2021,21224.09,6538.94,14560.42,1253.82,14090.82,257.59,209.34,0.17,1.45,1.44,1.5,GFPT
9M/2022 30 Sep 2022,23274.75,7119.97,16027.86,1253.82,13560.55,497.35,1592.79,1.27,8.5,10.79,11.76,GFPT
Y/E 2018 31 Dec 2018,2893.82,319.69,2544.89,922.18,2994.88,-38.01,81.85,0.09,3.37,3.16,2.81,LEE
Y/E 2019 31 Dec 2019,2982.17,324.5,2627.86,922.18,2677.79,-9.78,149.7,0.16,6.19,5.79,5.6,LEE
Y/E 2020 31 Dec 2020,3142.82,411.54,2700.57,922.18,2883.39,4.7,187.05,0.2,7.59,7.02,6.57,LEE
Y/E 2021 31 Dec 2021,3237.52,446.98,2760.57,922.18,3788.10,-,136.08,0.15,4.92,4.98,3.57,LEE
9M/2022 30 Sep 2022,3037.49,346.93,2661.11,922.18,2587.69,-,20.41,0.02,2.56,2.81,0.77,LEE
Y/E 2017 31 Dec 2017,2006.57,328.02,1468.0,29850.29,602.2,23.14,-43.76,0.0,-0.44,-3.53,-4.91,MAX
Y/E 2018 31 Dec 2018,2061.11,369.53,1476.30,29850.29,1076.97,-,8.47,0.00,1.27,0.58,1.24,MAX
Y/E 2019 31 Dec 2019,1874.58,344.51,1371.56,29850.29,1513.43,-,-133.09,0.00,-9.50,-9.35,-10.67,MAX
Y/E 2020 31 Dec 2020,2562.91,870.03,1533.71,85669.33,1359.43,58.15,-396.04,-0.01,-17.47,-27.26,-29.08,MAX
Y/E 2021 31 Dec 2021,1983.63,345.21,1481.62,85669.33,47.92,7.66,-54.83,0.0,-2.29,-3.64,-119.38,MAX
Y/E 2018 31 Dec 2018,6693.15,4020.7,2672.46,770.0,10074.38,9.63,486.46,0.47,12.47,28.71,4.83,NER
Y/E 2019 31 Dec 2019,7989.13,4977.99,3011.14,770.0,13020.51,86.64,538.88,0.35,10.69,18.96,4.14,NER
Y/E 2020 31 Dec 2020,10231.99,6541.41,3690.58,807.34,16364.49,-58.88,858.68,0.56,12.24,25.63,5.25,NER
Y/E 2021 31 Dec 2021,14239.29,8793.16,5446.13,880.32,24456.29,-220.75,1850.19,1.13,18.12,40.5,7.57,NER
9M/2022 30 Sep 2022,16924.73,10704.92,6219.81,923.9,18093.0,-121.57,1379.97,0.77,15.85,36.57,7.63,NER
Y/E 2018 31 Dec 2018,3339.88,2526.87,813.01,563.05,2115.32,3.72,-110.08,-0.2,0.63,-10.04,-5.2,PPPM
Y/E 2019 31 Dec 2019,2376.02,1996.90,379.12,688.07,2133.25,-,-1460.60,-2.34,-50.52,-245.04,-68.47,PPPM
