Statistics as of,Last Price (Baht),Market Cap. (M.Baht),F/S Period (As of date),P/E,P/BV,Book Value per share (Baht),Dividend Yield (%),Symbol
2019-12-30,0.58,1612.40,30 Sep 2019,18.20,1.08,0.54,-,EE
2020-12-30,0.63,1751.40,30 Sep 2020,-,1.24,0.51,-,EE
2021-12-30,1.65,4587.00,30 Sep 2021,20.87,2.70,0.61,-,EE
2022-12-30,0.62,1723.60,30 Sep 2022,-,2.07,0.60,-,EE
2023-01-09,0.61,1695.80,30 Sep 2022,-,2.04,0.60,-,EE
2019-12-30,12.30,15422.00,30 Sep 2019,12.98,1.17,10.56,2.03,GFPT
2020-12-30,14.20,17804.26,30 Sep 2020,15.62,1.26,11.26,1.41,GFPT
2021-12-30,12.80,16048.91,30 Sep 2021,26.00,1.11,11.56,1.56,GFPT
2022-12-30,12.80,16048.91,30 Sep 2022,9.74,1.00,12.78,0.78,GFPT
2023-01-09,12.90,16174.29,30 Sep 2022,9.82,1.01,12.78,0.78,GFPT
2019-12-30,2.18,2010.35,30 Sep 2019,20.65,0.79,2.77,3.67,LEE
2020-12-30,2.30,2121.01,30 Sep 2020,11.05,0.80,2.86,5.22,LEE
2021-12-30,2.70,2489.89,30 Sep 2021,17.34,0.95,2.84,6.67,LEE
2022-12-30,2.40,2213.23,30 Sep 2022,29.81,0.83,2.89,5.42,LEE
2023-01-09,2.40,2213.23,30 Sep 2022,29.81,0.83,2.89,5.42,LEE
2019-12-30,0.02,597.01,30 Sep 2019,-,0.43,0.05,-,MAX
2020-12-30,0.01,856.69,30 Sep 2020,-,0.46,0.02,-,MAX
2021-12-30,0.01,-,30 Sep 2020,-,-,0.02,-,MAX
2022-12-30,-,-,31 Mar 2021,-,-,0.02,-,MAX
2023-01-09,-,-,31 Dec 2021,-,-,0.02,-,MAX
2019-12-30,2.80,4312.00,30 Sep 2019,7.03,1.49,1.87,4.64,NER
2020-12-30,4.26,6878.53,30 Sep 2020,12.26,2.13,2.10,3.13,NER
2021-12-30,7.00,12324.45,30 Sep 2021,7.39,2.66,2.82,2.75,NER
2022-12-30,6.35,11733.46,30 Sep 2022,5.91,1.89,3.37,6.38,NER
2023-01-09,6.25,11548.69,30 Sep 2022,5.82,1.86,3.37,6.49,NER
2019-12-30,0.54,371.56,30 Sep 2019,-,0.48,1.11,-,PPPM
2020-12-30,0.37,254.58,30 Sep 2020,-,0.74,0.50,-,PPPM
2021-12-30,0.70,1493.55,30 Sep 2021,-,22.43,0.03,-,PPPM
2022-12-30,0.12,1271.29,30 Sep 2022,-,2.01,0.06,-,PPPM
2023-01-09,0.13,1377.23,30 Sep 2022,-,2.18,0.06,-,PPPM
2019-12-30,10.00,15360.00,30 Sep 2019,-,0.64,15.67,6.50,STA
2020-12-30,26.50,40704.00,30 Sep 2020,9.91,1.21,21.86,1.32,STA
2021-12-30,31.00,47616.00,30 Sep 2021,2.41,1.02,30.40,7.26,STA
2022-12-30,21.10,32409.60,30 Sep 2022,5.98,0.64,33.02,19.67,STA
2023-01-09,21.70,33331.20,30 Sep 2022,6.15,0.66,33.02,19.12,STA
2022-12-30,4.74,5119.20,30 Sep 2022,7.60,1.66,2.85,-,TEGH
2023-01-09,4.78,5162.40,30 Sep 2022,7.66,1.68,2.85,-,TEGH
2021-12-30,13.80,6900.00,-,28.42,-,-,-,TFM
2022-12-30,9.90,4950.00,30 Sep 2022,37.47,2.23,4.44,1.52,TFM
2023-01-09,10.30,5150.00,30 Sep 2022,38.98,2.32,4.44,1.46,TFM
2019-12-30,0.63,429.33,30 Sep 2019,-,0.21,2.99,1.59,TRUBB
2020-12-30,1.66,1131.26,30 Sep 2020,-,0.60,2.76,-,TRUBB
2021-12-30,2.48,2028.08,30 Sep 2021,4.81,0.66,3.77,-,TRUBB
2022-12-30,1.88,1537.42,30 Sep 2022,2.86,0.43,4.42,7.98,TRUBB
2023-01-09,1.88,1537.42,30 Sep 2022,2.86,0.43,4.42,7.98,TRUBB
2019-12-30,4.18,3680.16,30 Sep 2019,30.56,0.73,5.73,7.66,TWPC
2020-12-30,3.86,3398.42,30 Sep 2020,53.62,0.69,5.59,3.47,TWPC
2021-12-30,5.55,4886.34,30 Sep 2021,19.46,0.96,5.81,2.41,TWPC
2022-12-30,5.20,4578.19,30 Sep 2022,13.42,0.87,5.98,4.15,TWPC
2023-01-09,5.20,4578.19,30 Sep 2022,13.42,0.87,5.98,4.15,TWPC
2019-12-30,3.50,1134.18,30 Sep 2019,-,1.13,3.11,2.29,UPOIC
2020-12-30,4.26,1380.45,30 Sep 2020,22.12,1.30,3.27,0.59,UPOIC
2021-12-30,6.50,2106.33,30 Sep 2021,7.71,1.66,3.91,3.08,UPOIC
2022-12-30,6.60,2138.73,30 Sep 2022,6.35,1.48,4.45,7.58,UPOIC
2023-01-09,6.50,2106.33,30 Sep 2022,6.25,1.46,4.45,7.69,UPOIC
2019-12-30,5.35,5029.00,30 Sep 2019,15.38,1.57,3.41,7.48,UVAN
2020-12-30,5.80,5452.00,30 Sep 2020,20.02,1.69,3.42,5.86,UVAN
