Assets,Liabilities,Equity,Paid-up Capital,Revenue,Profit (Loss) from Other Activities,Net Profit,EPS (Baht),ROA (%),ROE (%),Net Profit Margin (%),SymbolId,Period as of,Date
13886.74,8315.1,5571.64,4579.0,4848.94,-10.04,546.57,0.06,7.52,9.81,11.27,374,Y/E 2018,2018-12-31
14145.18,3352.14,10793.04,5088.0,5088.17,-103.51,815.31,0.09,8.74,9.96,16.02,374,Y/E 2019,2019-12-31
16429.69,4436.86,11992.83,5088.0,6038.96,6.67,1507.64,0.15,10.84,13.23,24.97,374,Y/E 2020,2020-12-31
18740.2,5371.62,13315.33,5088.0,5739.67,167.96,1505.68,0.15,9.95,11.9,26.23,374,Y/E 2021,2021-12-31
290504.99,232836.4,57521.04,2973.1,170716.67,-4.34,29682.18,9.98,14.2,55.05,17.41,575,Y/E 2018,2018-12-31
289669.12,220274.95,69266.1,2973.18,181740.18,222.54,31189.57,10.49,14.54,49.2,17.16,575,Y/E 2019,2019-12-31
350170.58,274481.21,75563.98,2973.55,173720.31,69.89,27434.36,9.23,12.02,37.88,15.79,575,Y/E 2020,2020-12-31
356221.74,274397.22,81698.75,2973.93,182605.54,-786.32,26922.15,9.05,10.91,34.24,14.74,575,Y/E 2021,2021-12-31
337043.66,251227.31,85688.72,2974.21,186142.92,-72.87,26011.28,8.75,10.79,31.08,13.98,575,Y/E 2022,2022-12-31
87121.54,68733.17,18053.93,250.0,19877.89,5.61,3506.49,14.03,7.87,20.75,17.94,609,Y/E 2019,2019-02-28
95395.61,74270.46,20727.98,250.0,21685.46,538.54,3975.36,15.9,7.71,19.18,19.0,609,Y/E 2020,2020-02-29
87388.5,70008.84,17057.78,250.0,19822.54,203.46,3689.64,14.76,7.38,19.53,18.56,609,Y/E 2021,2021-02-28
90469.39,70205.43,19888.71,250.0,19048.23,308.67,3553.04,14.21,7.11,19.23,18.76,609,Y/E 2022,2022-02-28
33021.43,17452.34,12967.27,1067.0,4478.81,712.77,1018.22,0.95,5.92,7.98,29.61,225,Y/E 2018,2018-12-31
36397.4,19420.95,14054.51,1067.0,6112.7,689.97,1742.06,1.63,8.16,12.89,35.79,225,Y/E 2019,2019-12-31
40221.65,21469.13,15648.21,1150.0,4350.4,562.62,1103.44,1.02,5.23,7.43,32.22,225,Y/E 2020,2020-12-31
45470.86,23462.42,17723.26,1150.0,5433.66,974.3,1402.29,1.22,6.55,8.4,36.1,225,Y/E 2021,2021-12-31
187708.55,43439.43,143902.78,14285.7,61918.81,217.12,25170.76,1.76,17.56,18.29,40.74,540,Y/E 2018,2018-09-30
198381.56,43842.92,153899.11,14285.7,64384.75,182.04,25026.37,1.75,16.73,16.81,38.98,540,Y/E 2019,2019-09-30
173558.57,30526.9,142235.58,14285.7,33129.95,145.56,4320.68,0.3,3.22,2.92,12.97,540,Y/E 2020,2020-09-30
195085.77,81664.39,112343.77,14285.7,7715.73,-51.08,-16322.01,-1.14,-9.53,-12.82,-212.19,540,Y/E 2021,2021-09-30
183812.92,81294.32,101323.97,14285.7,16992.5,258.17,-11087.87,-0.78,-5.77,-10.38,-64.59,540,Y/E 2022,2022-09-30
49283.66,24904.35,24392.75,3145.9,27759.64,1130.44,3865.41,1.23,10.2,16.8,13.89,228,Y/E 2018,2018-12-31
58794.21,32498.09,26313.12,3145.9,23889.79,1085.44,3067.51,0.98,7.2,12.1,12.83,228,Y/E 2019,2019-12-31
58723.86,29460.56,29281.35,3145.9,29958.5,1947.62,4226.53,1.34,8.99,15.2,14.1,228,Y/E 2020,2020-12-31
60408.95,27985.54,32441.68,3145.9,31980.04,1000.28,4543.06,1.44,9.51,14.72,14.21,228,Y/E 2021,2021-12-31
93043.32,68037.84,25005.48,24000.0,12415.64,0.42,469.58,0.03,3.97,1.88,3.94,232,Y/E 2018,2018-12-31
109157.86,33496.19,75661.66,32000.00,11522.00,-,1054.23,0.04,3.14,2.09,9.03,232,Y/E 2019,2019-12-31
124466.57,53280.47,71186.09,32000.00,6136.42,-,-1881.23,-0.06,-0.99,-2.56,-30.66,232,Y/E 2020,2020-12-31
138897.29,59690.67,79206.62,32000.0,4395.83,3884.46,861.48,0.03,1.77,1.15,19.6,232,Y/E 2021,2021-12-31
107653.0,65803.99,41849.01,13675.0,9781.46,-30.31,5202.02,1.9,6.48,12.43,53.18,610,Y/E 2018,2018-12-31
115789.67,78723.55,37066.12,15075.0,12232.18,3.99,6549.3,2.38,7.47,16.6,53.54,610,Y/E 2019,2019-12-31
132069.62,90272.59,41797.03,16160.21,12444.33,-,1840.62,0.57,3.70,4.67,14.79,610,Y/E 2020,2020-12-31
125904.00,83148.41,42755.59,16160.21,13306.23,-,2600.22,0.80,4.51,6.15,19.54,610,Y/E 2021,2021-12-31
274317.4,171304.59,83060.46,5161.93,114845.46,5830.78,6693.73,1.3,8.11,7.95,8.91,380,Y/E 2018,2018-12-31
257588.81,167107.96,72194.58,5161.93,90048.43,4518.34,-552.86,-0.11,3.59,-0.71,1.5,380,Y/E 2019,2019-12-31
281647.62,197092.37,62343.95,5074.58,72929.82,7492.41,-1786.32,-0.35,1.97,-2.66,-0.78,380,Y/E 2020,2020-12-31
365799.4,262102.27,79277.25,6766.11,134990.1,-5023.44,9851.8,1.59,8.72,13.91,11.83,380,Y/E 2021,2021-12-31
