,0,1
0,2S,2S METAL PUBLIC COMPANY LIMITED
1,3K-BAT,THAI ENERGY STORAGE TECHNOLOGY PUBLIC COMPANY LIMITED
2,7UP,SEVEN UTILITIES AND POWER PUBLIC COMPANY LIMITED
3,A,AREEYA PROPERTY PUBLIC COMPANY LIMITED
4,AAI,Asian Alliance International Public Company Limited
5,AAV,ASIA AVIATION PUBLIC COMPANY LIMITED
6,ACC,ADVANCED CONNECTION CORPORATION PUBLIC COMPANY LIMITED
7,ACE,ABSOLUTE CLEAN ENERGY PUBLIC COMPANY LIMITED
8,ACG,AUTOCORP HOLDING PUBLIC COMPANY LIMITED
9,ADVANC,ADVANCED INFO SERVICE PUBLIC COMPANY LIMITED
10,AEONTS,AEON THANA SINSAP (THAILAND) PUBLIC COMPANY LIMITED
11,AFC,ASIA FIBER PUBLIC COMPANY LIMITED
12,AGE,ASIA GREEN ENERGY PUBLIC COMPANY LIMITED
13,AH,AAPICO HITECH PUBLIC COMPANY LIMITED
14,AHC,AIKCHOL HOSPITAL PUBLIC COMPANY LIMITED
15,AI,ASIAN INSULATORS PUBLIC COMPANY LIMITED
16,AIE,AI ENERGY PUBLIC COMPANY LIMITED
17,AIMCG,AIM COMMERCIAL GROWTH FREEHOLD AND LEASEHOLD REAL ESTATE INVESTMENT TRUST
18,AIMIRT,AIM INDUSTRIAL GROWTH FREEHOLD AND LEASEHOLD REAL ESTATE INVESTMENT TRUST
19,AIT,"ADVANCED INFORMATION TECHNOLOGY PUBLIC CO.,LTD."
20,AJ,A.J. PLAST PUBLIC COMPANY LIMITED
21,AJA,AJ ADVANCE TECHNOLOGY PUBLIC COMPANY LIMITED
22,AKR,EKARAT ENGINEERING PUBLIC COMPANY LIMITED
23,ALLA,ALLA PUBLIC COMPANY LIMITED
24,ALLY,ALLY LEASEHOLD REAL ESTATE INVESTMENT TRUST
25,ALT,ALT TELECOM PUBLIC COMPANY LIMITED
26,ALUCON,ALUCON PUBLIC COMPANY LIMITED
27,AMARIN,AMARIN PRINTING AND PUBLISHING PUBLIC COMPANY LIMITED
28,AMATA,AMATA CORPORATION PUBLIC COMPANY LIMITED
29,AMATAR,AMATA SUMMIT GROWTH FREEHOLD AND LEASEHOLD REAL ESTATE INVESTMENT TRUST
30,AMATAV,AMATA VN PUBLIC COMPANY LIMITED
31,AMC,ASIA METAL PUBLIC COMPANY LIMITED
32,AMR,AMR ASIA PUBLIC COMPANY LIMITED
33,ANAN,ANANDA DEVELOPMENT PUBLIC COMPANY LIMITED
34,AOT,AIRPORTS OF THAILAND PUBLIC COMPANY LIMITED
35,AP,AP (THAILAND) PUBLIC COMPANY LIMITED
36,APCO,ASIAN PHYTOCEUTICALS PUBLIC COMPANY LIMITED
37,APCS,ASIA PRECISION PUBLIC COMPANY LIMITED
38,APEX,APEX DEVELOPMENT PUBLIC COMPANY LIMITED
39,APURE,AGRIPURE HOLDINGS PUBLIC COMPANY LIMITED
40,AQ,AQ ESTATE PUBLIC COMPANY LIMITED
41,AQUA,AQUA CORPORATION PUBLIC COMPANY LIMITED
42,AS,ASIASOFT CORPORATION PUBLIC COMPANY LIMITED
43,ASEFA,ASEFA PUBLIC COMPANY LIMITED
44,ASIA,ASIA HOTEL PUBLIC COMPANY LIMITED
45,ASIAN,ASIAN SEA CORPORATION PUBLIC COMPANY LIMITED
46,ASIMAR,ASIAN MARINE SERVICES PUBLIC COMPANY LIMITED
47,ASW,ASSETWISE PUBLIC COMPANY LIMITED
48,AURA,Aurora Design Public Company Limited
49,AWC,ASSET WORLD CORP PUBLIC COMPANY LIMITED
50,B,BEGISTICS PUBLIC COMPANY LIMITED
51,B-WORK,BUALUANG OFFICE LEASEHOLD REAL ESTATE INVESTMENT TRUST
52,B52,B-52 CAPITAL PUBLIC COMPANY LIMITED
53,BA,BANGKOK AIRWAYS PUBLIC COMPANY LIMITED
54,BAFS,BANGKOK AVIATION FUEL SERVICES PCL.
55,BAM,BANGKOK COMMERCIAL ASSET MANAGEMENT PUBLIC COMPANY LIMITED
56,BANPU,BANPU PUBLIC COMPANY LIMITED
57,BAREIT,BA Airport Leasehold Real Estate Investment Trust
58,BBGI,BBGI PUBLIC COMPANY LIMITED
59,BBL,BANGKOK BANK PUBLIC COMPANY LIMITED
60,BCH,BANGKOK CHAIN HOSPITAL PUBLIC COMPANY LIMITED
61,BCP,BANGCHAK CORPORATION PUBLIC COMPANY LIMITED
62,BCPG,BCPG PUBLIC COMPANY LIMITED
63,BCT,BIRLA CARBON (THAILAND) PUBLIC COMPANY LIMITED
64,BDMS,BANGKOK DUSIT MEDICAL SERVICES PUBLIC COMPANY LIMITED
65,BEAUTY,BEAUTY COMMUNITY PUBLIC COMPANY LIMITED
66,BEC,BEC WORLD PUBLIC COMPANY LIMITED
67,BEM,BANGKOK EXPRESSWAY AND METRO PUBLIC COMPANY LIMITED
68,BEYOND,BOUND AND BEYOND PUBLIC COMPANY LIMITED
69,BGC,BG CONTAINER GLASS PUBLIC COMPANY LIMITED
70,BGRIM,B.GRIMM POWER PUBLIC COMPANY LIMITED
71,BH,BUMRUNGRAD HOSPITAL PUBLIC COMPANY LIMITED
72,BIG,BIG CAMERA CORPORATION PUBLIC COMPANY LIMITED
73,BIOTEC,BIO GREEN ENERGY TECH PUBLIC COMPANY LIMITED
74,BIZ,BUSINESS ALIGNMENT PUBLIC COMPANY LIMITED
75,BJC,BERLI JUCKER PUBLIC COMPANY LIMITED
76,BJCHI,BJC HEAVY INDUSTRIES PUBLIC COMPANY LIMITED
77,BKD,BANGKOK DEC-CON PUBLIC COMPANY LIMITED
78,BKKCP,BANGKOK COMMERCIAL PROPERTY FUND
79,BLA,BANGKOK LIFE ASSURANCE PUBLIC COMPANY LIMITED
80,BLAND,BANGKOK LAND PUBLIC COMPANY LIMITED
81,BLISS,BLISS INTELLIGENCE PUBLIC COMPANY LIMITED
82,BOFFICE,BHIRAJ OFFICE LEASEHOLD REAL ESTATE INVESTMENT TRUST
83,BPP,BANPU POWER PUBLIC COMPANY LIMITED
