,Symbol,Name,Sector,Industry,Market
0,AACG,ATA Creativity Global American Depositary Shares,Consumer Discretionary,Service to the Health Industry,NASDAQ
1,AACI,Armada Acquisition Corp. I Common Stock,Industrials,Consumer Electronics/Appliances,NASDAQ
2,AACIW,Armada Acquisition Corp. I Warrant,Industrials,Consumer Electronics/Appliances,NASDAQ
3,AADI,Aadi Bioscience Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations,NASDAQ
4,AAL,American Airlines Group Inc. Common Stock,Consumer Discretionary,Air Freight/Delivery Services,NASDAQ
5,AAME,Atlantic American Corporation Common Stock,Finance,Life Insurance,NASDAQ
6,AAOI,Applied Optoelectronics Inc. Common Stock,Technology,Semiconductors,NASDAQ
7,AAON,AAON Inc. Common Stock,Industrials,Industrial Machinery/Components,NASDAQ
8,AAPL,Apple Inc. Common Stock,Technology,Computer Manufacturing,NASDAQ
9,AAWW,Atlas Air Worldwide Holdings NEW Common Stock,Consumer Discretionary,Transportation Services,NASDAQ
10,ABCB,Ameris Bancorp Common Stock,Finance,Major Banks,NASDAQ
11,ABCL,AbCellera Biologics Inc. Common Shares,Health Care,Pharmaceuticals and Biotechnology,NASDAQ
12,ABCM,Abcam plc American Depositary Shares,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),NASDAQ
13,ABEO,Abeona Therapeutics Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations,NASDAQ
14,ABGI,ABG Acquisition Corp. I Class A Ordinary Shares,Finance,Blank Checks,NASDAQ
15,ABIO,ARCA biopharma Inc. Common Stock,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,NASDAQ
16,ABNB,Airbnb Inc. Class A Common Stock,Consumer Discretionary,Hotels/Resorts,NASDAQ
17,ABOS,Acumen Pharmaceuticals Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations,NASDAQ
18,ABSI,Absci Corporation Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations,NASDAQ
20,ABUS,Arbutus Biopharma Corporation Common Stock,Health Care,Pharmaceuticals and Biotechnology,NASDAQ
21,ABVC,ABVC BioPharma Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations,NASDAQ
22,ACAB,Atlantic Coastal Acquisition Corp. II Class A Common Stock,Industrials,Consumer Electronics/Appliances,NASDAQ
23,ACABU,Atlantic Coastal Acquisition Corp. II Unit,Industrials,Consumer Electronics/Appliances,NASDAQ
24,ACABW,Atlantic Coastal Acquisition Corp. II Warrant,Industrials,Consumer Electronics/Appliances,NASDAQ
25,ACAC,Acri Capital Acquisition Corporation Class A Common Stock,Industrials,Consumer Electronics/Appliances,NASDAQ
26,ACACU,Acri Capital Acquisition Corporation Unit,Industrials,Consumer Electronics/Appliances,NASDAQ
27,ACACW,Acri Capital Acquisition Corporation Warrant,Industrials,Consumer Electronics/Appliances,NASDAQ
28,ACAD,ACADIA Pharmaceuticals Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations,NASDAQ
29,ACAH,Atlantic Coastal Acquisition Corp. Class A Common Stock,Industrials,Consumer Electronics/Appliances,NASDAQ
30,ACAHW,Atlantic Coastal Acquisition Corp. Warrant,Industrials,Consumer Electronics/Appliances,NASDAQ
31,ACAXR,Alset Capital Acquisition Corp. Right,Industrials,Consumer Electronics/Appliances,NASDAQ
32,ACB,Aurora Cannabis Inc. Common Shares,Health Care,Pharmaceuticals and Biotechnology,NASDAQ
33,ACBA,Ace Global Business Acquisition Limited Ordinary Shares,Consumer Discretionary,Catalog/Specialty Distribution,NASDAQ
34,ACBAU,Ace Global Business Acquisition Limited Unit,Consumer Discretionary,Catalog/Specialty Distribution,NASDAQ
35,ACCD,Accolade Inc. Common Stock,Technology,Interactive Media,NASDAQ
36,ACDC,ProFrac Holding Corp. Class A Common Stock,Industrials,Metal Fabrications,NASDAQ
37,ACDCW,ProFrac Holding Corp. Warrant,Industrials,Metal Fabrications,NASDAQ
38,ACER,Acer Therapeutics Inc. Common Stock (DE),Health Care,Biotechnology: Biological Products (No Diagnostic Substances),NASDAQ
39,ACET,Adicet Bio Inc. Common Stock ,Health Care,Biotechnology: Pharmaceutical Preparations,NASDAQ
40,ACGL,Arch Capital Group Ltd. Common Stock,Finance,Property-Casualty Insurers,NASDAQ
41,ACGLN,Arch Capital Group Ltd. Depositary Shares each Representing a 1/1000th Interest in a 4.550% Non-Cumulative Preferred Share Series G,Finance,Property-Casualty Insurers,NASDAQ
42,ACGLO,Arch Capital Group Ltd. Depositary Shares Each Representing 1/1000th Interest in a Share of 5.45% Non-Cumulative Preferred Shares Series F,Finance,Property-Casualty Insurers,NASDAQ
43,ACGN,Aceragen Inc. Common Stock,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),NASDAQ
44,ACHC,Acadia Healthcare Company Inc. Common Stock,Health Care,Hospital/Nursing Management,NASDAQ
45,ACHL,Achilles Therapeutics plc American Depositary Shares,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),NASDAQ
46,ACHV,Achieve Life Sciences Inc. Common Shares,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,NASDAQ
47,ACIU,AC Immune SA Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations,NASDAQ
48,ACIW,ACI Worldwide Inc. Common Stock,Technology,EDP Services,NASDAQ
49,ACLS,Axcelis Technologies Inc. Common Stock,Technology,Industrial Machinery/Components,NASDAQ
