"Date","Price","Open","High","Low","Vol.","Change %"
"01/24/2023","2,262.22","2,272.98","2,280.32","2,261.77","1.65B","-0.11%"
"01/23/2023","2,264.62","2,261.33","2,274.48","2,256.16","1.87B","0.40%"
"01/20/2023","2,255.69","2,271.25","2,272.98","2,247.99","2.77B","-0.78%"
"01/19/2023","2,273.52","2,262.71","2,276.19","2,261.50","1.81B","0.23%"
"01/18/2023","2,268.25","2,263.88","2,274.31","2,258.67","2.12B","0.29%"
"01/17/2023","2,261.78","2,269.50","2,273.91","2,258.34","1.75B","-0.28%"
"01/16/2023","2,268.10","2,273.15","2,279.73","2,260.39","1.83B","0.07%"
"01/13/2023","2,266.49","2,282.50","2,288.55","2,255.53","3.31B","-0.43%"
"01/12/2023","2,276.39","2,278.57","2,282.53","2,265.18","2.42B","0.06%"
"01/11/2023","2,274.98","2,287.29","2,289.55","2,268.98","2.35B","-0.48%"
"01/10/2023","2,285.87","2,290.42","2,292.83","2,276.49","2.79B","-0.03%"
"01/09/2023","2,286.56","2,279.03","2,291.21","2,277.92","2.41B","1.11%"
"01/06/2023","2,261.48","2,251.26","2,268.84","2,249.53","2.66B","0.60%"
"01/05/2023","2,247.94","2,265.24","2,268.20","2,241.97","2.97B","-0.73%"
"01/04/2023","2,264.44","2,274.54","2,283.83","2,256.37","2.35B","-0.45%"
"01/03/2023","2,274.61","2,268.25","2,281.46","2,264.35","2.19B","0.74%"
"12/30/2022","2,257.94","2,268.24","2,276.54","2,257.66","2.67B","-0.45%"
"12/29/2022","2,268.16","2,243.07","2,270.30","2,237.90","1.84B","0.93%"
"12/28/2022","2,247.34","2,238.33","2,250.61","2,234.11","1.49B","0.43%"
"12/27/2022","2,237.64","2,218.02","2,241.77","2,216.26","1.79B","1.24%"
"12/26/2022","2,210.31","2,202.16","2,214.59","2,201.39","963.12M","0.57%"
"12/23/2022","2,197.79","2,190.12","2,201.77","2,186.20","1.23B","0.02%"
"12/22/2022","2,197.44","2,194.26","2,199.01","2,189.44","1.21B","0.43%"
"12/21/2022","2,187.99","2,192.00","2,192.71","2,179.46","1.49B","0.00%"
"12/20/2022","2,188.01","2,203.16","2,204.93","2,176.31","2.06B","-0.63%"
"12/19/2022","2,201.81","2,202.47","2,209.57","2,193.38","2.02B","-0.10%"
"12/16/2022","2,203.93","2,194.20","2,205.33","2,190.47","2.83B","0.10%"
"12/15/2022","2,201.69","2,216.73","2,219.33","2,195.76","2.21B","-0.76%"
"12/14/2022","2,218.53","2,216.22","2,224.50","2,211.49","2.32B","0.35%"
"12/13/2022","2,210.70","2,214.62","2,218.43","2,202.14","1.60B","0.20%"
"12/09/2022","2,206.22","2,204.46","2,215.59","2,197.49","1.28B","0.14%"
"12/08/2022","2,203.05","2,207.28","2,208.41","2,193.39","1.60B","-0.10%"
"12/07/2022","2,205.28","2,214.55","2,224.05","2,203.31","1.62B","-0.47%"
"12/06/2022","2,215.64","2,219.36","2,222.25","2,207.91","2.06B","-0.30%"
"12/02/2022","2,222.33","2,235.37","2,236.52","2,218.94","1.33B","-0.63%"
"12/01/2022","2,236.53","2,240.79","2,243.59","2,232.38","2.03B","0.16%"
"11/30/2022","2,233.03","2,218.78","2,234.49","2,211.66","2.60B","0.70%"
"11/29/2022","2,217.52","2,205.56","2,218.74","2,199.50","1.65B","0.70%"
"11/28/2022","2,202.13","2,200.71","2,208.29","2,195.30","1.25B","-0.34%"
"11/25/2022","2,209.66","2,214.62","2,215.68","2,203.68","1.17B","-0.48%"
"11/24/2022","2,220.33","2,225.96","2,228.26","2,213.65","1.48B","0.04%"
"11/23/2022","2,219.39","2,213.22","2,224.17","2,209.67","1.82B","0.60%"
"11/22/2022","2,206.05","2,213.81","2,226.65","2,200.78","1.99B","-0.30%"
"11/21/2022","2,212.70","2,200.30","2,217.29","2,196.82","1.54B","0.33%"
"11/18/2022","2,205.41","2,205.16","2,211.05","2,196.07","1.59B","0.03%"
"11/17/2022","2,204.84","2,208.44","2,211.18","2,197.84","1.58B","-0.41%"
"11/16/2022","2,213.87","2,229.03","2,229.51","2,208.68","1.87B","-0.75%"
"11/15/2022","2,230.68","2,229.33","2,237.65","2,223.58","2.02B","0.18%"
"11/14/2022","2,226.57","2,237.56","2,244.22","2,218.76","1.79B","-0.90%"
"11/11/2022","2,246.82","2,243.56","2,251.27","2,232.03","2.57B","1.32%"
"11/10/2022","2,217.58","2,205.65","2,223.12","2,201.30","1.71B","-0.08%"
"11/09/2022","2,219.37","2,233.00","2,236.99","2,215.09","1.95B","-0.60%"
"11/08/2022","2,232.84","2,225.19","2,238.03","2,224.67","1.50B","0.63%"
"11/07/2022","2,218.79","2,232.41","2,236.79","2,214.07","1.97B","-0.26%"
"11/04/2022","2,224.63","2,225.97","2,239.85","2,222.28","1.80B","0.13%"
"11/03/2022","2,221.77","2,218.32","2,227.49","2,215.16","1.68B","-0.18%"
"11/02/2022","2,225.87","2,226.26","2,233.99","2,219.09","1.61B","0.13%"
"11/01/2022","2,223.07","2,207.50","2,228.47","2,205.51","1.96B","1.05%"
"10/31/2022","2,199.97","2,207.01","2,213.20","2,193.51","1.77B","0.25%"
"10/28/2022","2,194.49","2,194.43","2,199.48","2,181.35","1.61B","0.06%"
"10/27/2022","2,193.24","2,182.09","2,198.42","2,176.65","2.45B","0.77%"
"10/26/2022","2,176.45","2,181.12","2,185.51","2,171.85","3.27B","0.10%"
