Symbol,Date,Open,High,Low,Close,Change,% Change,Volume (Shares),Value ('000 Baht)
ACE,2022-11-24,2.68,2.7,2.68,2.68,0.0,0.0,17189362,46111.18
ACE,2022-11-25,2.68,2.7,2.66,2.68,0.0,0.0,16769600,44944.21
ACE,2022-11-28,2.68,2.7,2.68,2.68,0.0,0.0,9522506,25523.49
ACE,2022-11-29,2.68,2.7,2.66,2.68,0.0,0.0,13902608,37258.61
ACE,2022-11-30,2.68,2.7,2.66,2.7,0.02,0.75,14868502,39929.54
ACE,2022-12-01,2.7,2.7,2.68,2.68,-0.02,-0.74,13471679,36222.2
ACE,2022-12-02,2.7,2.7,2.68,2.7,0.02,0.75,14337260,38512.66
ACE,2022-12-06,2.68,2.7,2.66,2.68,-0.02,-0.74,27961183,74925.9
ACE,2022-12-07,2.68,2.7,2.66,2.68,0.0,0.0,14138308,37880.82
ACE,2022-12-08,2.68,2.68,2.66,2.66,-0.02,-0.75,16931003,45245.82
ACE,2022-12-09,2.68,2.68,2.66,2.66,0.0,0.0,20293338,54246.87
ACE,2022-12-13,2.66,2.68,2.66,2.66,0.0,0.0,16361143,43629.23
ACE,2022-12-14,2.68,2.68,2.66,2.66,0.0,0.0,13813977,36832.85
ACE,2022-12-15,2.66,2.68,2.64,2.66,0.0,0.0,16749918,44542.44
ACE,2022-12-16,2.66,2.66,2.64,2.64,-0.02,-0.75,11885382,31501.83
ACE,2022-12-19,2.64,2.66,2.62,2.62,-0.02,-0.76,20825875,54937.82
ACE,2022-12-20,2.62,2.64,2.52,2.54,-0.08,-3.05,33994041,87736.34
ACE,2022-12-21,2.54,2.56,2.52,2.52,-0.02,-0.79,10520203,26581.64
ACE,2022-12-22,2.54,2.58,2.54,2.56,0.04,1.59,12610925,32221.61
ACE,2022-12-23,2.56,2.58,2.54,2.56,0.0,0.0,13693466,35057.19
ADVANC,2022-11-24,190.5,191.0,188.0,189.0,-1.0,-0.53,4727211,894760.06
ADVANC,2022-11-25,188.5,189.0,187.0,188.5,-0.5,-0.26,3167925,595009.05
ADVANC,2022-11-28,188.0,189.0,187.0,188.5,0.0,0.0,2321835,437370.54
ADVANC,2022-11-29,189.0,190.5,189.0,190.0,1.5,0.8,3565557,676930.84
ADVANC,2022-11-30,189.0,190.0,188.5,189.0,-1.0,-0.53,8368831,1583313.95
ADVANC,2022-12-01,190.0,190.5,189.0,190.0,1.0,0.53,2909581,552102.68
ADVANC,2022-12-02,190.0,190.0,188.5,188.5,-1.5,-0.79,3419290,645652.57
ADVANC,2022-12-06,188.0,188.5,183.0,185.0,-3.5,-1.86,11269584,2086097.96
ADVANC,2022-12-07,185.0,187.5,185.0,186.5,1.5,0.81,3789127,706351.61
ADVANC,2022-12-08,187.0,187.0,185.5,186.5,0.0,0.0,2848924,531004.47
ADVANC,2022-12-09,186.0,187.5,186.0,187.0,0.5,0.27,2855888,533954.26
ADVANC,2022-12-13,188.0,188.0,186.0,186.5,-0.5,-0.27,3785784,707158.83
ADVANC,2022-12-14,187.0,187.0,185.5,186.5,0.0,0.0,3859100,718858.09
ADVANC,2022-12-15,186.0,186.5,185.0,185.5,-1.0,-0.54,2777515,515558.84
ADVANC,2022-12-16,185.0,186.0,184.5,185.0,-0.5,-0.27,4993240,923970.52
ADVANC,2022-12-19,186.0,186.5,184.5,186.0,1.0,0.54,2956399,549661.1
ADVANC,2022-12-20,186.0,187.0,185.0,186.0,0.0,0.0,2004036,372248.62
ADVANC,2022-12-21,186.5,188.5,186.0,188.0,2.0,1.08,4695125,879625.81
ADVANC,2022-12-22,189.0,189.5,188.0,188.5,0.5,0.27,4637366,875509.2
ADVANC,2022-12-23,188.0,190.0,188.0,190.0,1.5,0.8,4748237,899783.81
AEONTS,2022-11-24,160.5,161.0,159.5,160.0,0.0,0.0,39601,6336.61
AEONTS,2022-11-25,160.0,160.5,159.0,160.0,0.0,0.0,98402,15703.62
AEONTS,2022-11-28,159.0,160.5,159.0,160.5,0.5,0.31,47788,7626.41
